DATE,LEDGER,REVENUE,UNITS
5/31/2019,Bike Footwear,10883463.99,91736.00
5/31/2019,Bike Sandals,53506.39,536.00
5/31/2019,Mountain Shoes,5979876.04,53118.00
5/31/2019,Other Bike Shoes,69499.18,864.00
5/31/2019,Road Shoes,4780582.38,37218.00
5/31/2019,Bike Gloves,3627413.60,130646.00
5/31/2019,Bike Glove Liners,620.42,14.00
5/31/2019,Fingerless Bike Gloves,2415738.10,88580.00
5/31/2019,Full Finger Bike Gloves,1211055.08,42052.00
5/31/2019,Bike Lights,7822205.10,298608.00
5/31/2019,Bike Headlights,2607626.57,65052.00
5/31/2019,Bike Light Accessories,65921.44,3666.00
5/31/2019,Bike Light Sets,2842380.95,106561.00
5/31/2019,Bike Taillights,1554892.31,53993.00
5/31/2019,Other Bike Lights,751383.83,69336.00
5/31/2019,Bike Pumps,9562385.14,588823.00
5/31/2019,C02 Frame Pumps,547630.59,31620.00
5/31/2019,Floor Pumps,6136329.13,292452.00
5/31/2019,Manual Frame Pumps,1810198.38,105615.00
5/31/2019,Pump Accessories,862062.91,154226.00
5/31/2019,Shock Pumps,206164.13,4910.00
5/31/2019,Bike Rentals,4281037.63,86861.00
5/31/2019,Bike Rentals,4281037.63,86861.00
5/31/2019,Bike Service/Repairs,28616226.74,1189195.00
5/31/2019,Bike Service/Repairs,28616226.74,1189195.00
5/31/2019,BMX,15887876.32,154881.00
5/31/2019,BMX/Race Bicycles,3707533.85,37617.00
5/31/2019,Freestyle Bicycles,12180342.47,117264.00
5/31/2019,Childrens,65715760.80,689497.00
5/31/2019,12 inch Bicycles,8181668.51,127130.00
5/31/2019,14 inch Bicycles,1662399.29,18685.00
5/31/2019,16 inch Bicycles,14163402.78,167121.00
5/31/2019,18 inch Bicycles,6353263.33,77851.00
5/31/2019,20 inch Bicycles,15636791.41,153536.00
5/31/2019,24 inch Bicycles,18265179.73,126657.00
5/31/2019,Balance Bikes,1292486.40,16422.00
5/31/2019,Tricycles,160569.35,2095.00
5/31/2019,Components,27311979.79,1198395.00
5/31/2019,Bar Ends,49892.26,2707.00
5/31/2019,Bottom Brackets,566269.20,14847.00
5/31/2019,Brake and Shifting Cables,1459895.50,287977.00
5/31/2019,Brake Parts - Disks,729850.02,18344.00
5/31/2019,Brake Parts - Levers,225729.35,6131.00
5/31/2019,Brake Parts - Other,327975.74,31662.00
5/31/2019,Brake Parts - Pads,1984620.91,141658.00
5/31/2019,Brake Parts - Rims,92259.33,1015.00
5/31/2019,Brakes - Disk - Hydraulic,456979.63,4646.00
5/31/2019,Brakes - Disk - Hydraulic Sets,515203.24,5412.00
5/31/2019,Brakes - Disk - Mechanical,100627.48,1795.00
5/31/2019,Brakes - Disk - Mechanical Sets,2523.15,56.00
5/31/2019,Brakes - Rim Sets,48880.76,423.00
5/31/2019,Brakes - Rims,96665.16,3879.00
5/31/2019,Cassettes/Freewheels,2763427.03,43086.00
5/31/2019,Chainrings,715109.64,12426.00
5/31/2019,Chains,3507143.26,156277.00
5/31/2019,Component Groups,554134.11,742.00
5/31/2019,Cranksets,1140070.39,7134.00
5/31/2019,Front Derailleurs,203574.26,4071.00
5/31/2019,Handlebar Grips,1301438.47,78107.00
5/31/2019,Handlebar Tape,1223096.05,57917.00
5/31/2019,Handlebars,1112802.79,14029.00
5/31/2019,Headsets,169683.64,4992.00
5/31/2019,Other Component Parts,3467926.82,232533.00
5/31/2019,Rear Derailleurs,1186167.62,18153.00
5/31/2019,Seatposts,1492452.63,14748.00
5/31/2019,Shift/Brake Combo,475423.36,3548.00
5/31/2019,Shifters,520064.19,13678.00
5/31/2019,Stems,822093.80,16402.00
5/31/2019,Electric Bicycles,20541435.91,9431.00
5/31/2019,Electric Bicycles,20541435.91,9431.00
5/31/2019,Electronics,6489267.46,81081.00
5/31/2019,Cyclo-Computers,4284822.65,38587.00
5/31/2019,Electronic Accessories,1465785.03,41456.00
5/31/2019,Power Meters,738659.78,1038.00
5/31/2019,Fenders,689561.54,23994.00
5/31/2019,Fender Sets,483454.87,11510.00
5/31/2019,Front Fenders,90818.20,5966.00
5/31/2019,Rear Fenders,115288.47,6518.00
5/31/2019,Forks & Suspension,991080.53,2607.00
5/31/2019,26 Inch,10503.38,63.00
5/31/2019,700C,14451.46,175.00
5/31/2019,Other Rigid Forks,125954.82,371.00
5/31/2019,Suspension Fork,769065.01,1692.00
5/31/2019,Suspension Rear,71105.86,306.00
5/31/2019,Frames,3722738.76,1797.00
5/31/2019,BMX Frames,15015.14,44.00
5/31/2019,Cyclocross/Gravel Frames,392852.64,180.00
5/31/2019,Mountain Frames,2248085.50,1107.00
5/31/2019,Road Frames,1066785.48,466.00
5/31/2019,Helmets,36341909.16,1040356.00
5/31/2019,Full Face Helmets,1256515.12,10560.00
5/31/2019,Helmet Accessories,34554.23,2110.00
5/31/2019,Regular Helmets,35050839.81,1027686.00
5/31/2019,Lifestyle/Leisure,26797504.74,151692.00
5/31/2019,Comfort Bicycles,9445059.46,33766.00
5/31/2019,Cruiser/Classic Bicycles,17352445.28,117926.00
5/31/2019,Locks,7795114.06,404682.00
5/31/2019,Cable Locks,4487652.14,313738.00
5/31/2019,Lock Accessories,147442.34,8172.00
5/31/2019,U-Locks,3160019.58,82772.00
5/31/2019,Mountain,99273803.99,259071.00
5/31/2019,Downhill  -26,4747.13,3.00
5/31/2019,Downhill - 27.5,0.00,0.00
5/31/2019,Downhill - 29,0.00,0.00
5/31/2019,Front Suspension 26,10940905.69,76068.00
5/31/2019,Front Suspension 27.5,23932394.36,53119.00
5/31/2019,Front Suspension 29,17112733.35,37130.00
5/31/2019,Full Suspension 26,5725833.22,43127.00
5/31/2019,Full Suspension 27.5,17092993.58,13711.00
5/31/2019,Full Suspension 29,19154095.38,16969.00
5/31/2019,Single Speed Mountain Bicycles,1823158.73,9095.00
5/31/2019,Unsuspended Bicycles,3486942.55,9849.00
5/31/2019,On-Bike Packs,4586511.25,115171.00
5/31/2019,Frame Bags,711344.76,24751.00
5/31/2019,Handlebar Bags,399804.66,11001.00
5/31/2019,Pannier/Rack Packs,2113294.99,27251.00
5/31/2019,Seat/Seatpost Bags,1362066.84,52168.00
5/31/2019,On-Bike Racks,3923705.73,138975.00
5/31/2019,Bike Baskets,2118369.35,93249.00
5/31/2019,Front Bike Racks,51936.35,1070.00
5/31/2019,Front/Rear Rack Sets,0.00,0.00
5/31/2019,Rear Rack Frame,1580621.10,40680.00
5/31/2019,Rear Rack Seatpost,172778.93,3976.00
5/31/2019,Other Bicycles,5149423.28,11974.00
5/31/2019,Folding Bicycles,1065203.31,2749.00
5/31/2019,Other Bicycles,217802.44,121.00
5/31/2019,Recumbent Bicycles,1722962.43,1520.00
5/31/2019,Three Wheeler Bicycles,2036966.94,6502.00
5/31/2019,Unicycles,106488.16,1082.00
5/31/2019,Pedals,8175748.22,199891.00
5/31/2019,MTB Clipless Pedals,1803306.95,24837.00
5/31/2019,Pedals Accessories,1532797.43,70237.00
5/31/2019,Platform Pedals,2592625.96,80055.00
5/31/2019,Road Clipless Pedals,2247017.88,24762.00
5/31/2019,Repairs/Maintenance,8436828.03,778858.00
5/31/2019,Bike Multi Tools,1066149.64,53228.00
5/31/2019,Bike Patch Tool Kits,651321.51,123411.00
5/31/2019,Bike Patch Tools,1237864.16,171637.00
5/31/2019,Bike Shop Tools,1420269.42,97265.00
5/31/2019,Lubes/Cleaners,3251727.41,327926.00
5/31/2019,Workstands,809495.89,5391.00
5/31/2019,Road,44543986.14,33080.00
5/31/2019,Cyclocross/Gravel Bicycles,11312254.81,8001.00
5/31/2019,Sport Performance Road Bicycles,29888566.97,19472.00
5/31/2019,Touring Road Bicycles,1328545.31,1209.00
5/31/2019,Track/Single Speed Bicycles,1055284.10,4175.00
5/31/2019,Triathlon Bicycles,959334.95,223.00
5/31/2019,Saddles/Pads,6515023.43,168799.00
5/31/2019,Comfort Saddles,2980268.53,85829.00
5/31/2019,Other Saddles,128114.06,4677.00
5/31/2019,Pads/Covers,779504.94,47645.00
5/31/2019,Performance Saddles,2627135.90,30648.00
5/31/2019,Stationary Bikes,9604891.47,51701.00
5/31/2019,Pedalers & Desk Bikes,681267.88,14275.00
5/31/2019,Recumbent Stationary Bikes,3676127.28,14976.00
5/31/2019,Spin Bikes,2128514.10,5962.00
5/31/2019,Upright Stationary Bikes,3118982.21,16488.00
5/31/2019,Tandem,753993.37,971.00
5/31/2019,All Terrain Tandem Bicycles,51058.96,17.00
5/31/2019,Comfort/Cross Tandem Bicycles,367215.23,571.00
5/31/2019,Road Tandem Bicycles,335719.18,383.00
5/31/2019,Tires/Tubes,27373227.84,2107532.00
5/31/2019,Other Tubes,1395088.41,242751.00
5/31/2019,Tire 12-24 Inch,1511570.24,88149.00
5/31/2019,Tire 26 Inch,2995773.74,128925.00
5/31/2019,Tire 27 Inch/700C/650C,8646958.99,223277.00
5/31/2019,Tire 27.5 Inch/650B,974697.65,19093.00
5/31/2019,Tire 29 Inch,1436894.10,32323.00
5/31/2019,Tire OTHER,69455.76,6263.00
5/31/2019,Tires/Tubes Accessories,1019219.65,130119.00
5/31/2019,Tube 20 Inch,1216974.44,150903.00
5/31/2019,Tube 24 X,498479.20,68439.00
5/31/2019,Tube 26 X,3099763.54,413370.00
5/31/2019,Tube 27.5/650B,395559.26,50217.00
5/31/2019,Tube 27/700C/650C,3600488.36,484252.00
5/31/2019,Tube 29 X,512304.50,69451.00
5/31/2019,Trailers,959724.93,7708.00
5/31/2019,Cargo Trailers,241223.68,1374.00
5/31/2019,Trail A Bikes,718501.25,6334.00
5/31/2019,Trainers/Rollers,2244566.69,16746.00
5/31/2019,Trainers/Rollers,1552600.12,3471.00
5/31/2019,Trainers/Rollers Accessories,691966.57,13275.00
5/31/2019,Transit/Fitness,52222657.99,128236.00
5/31/2019,Commuter/Town Bicycles,4105811.19,14551.00
5/31/2019,Cross/Hybrid Bicycles,48116846.80,113685.00
5/31/2019,Water Bottle Cages,4142576.51,307154.00
5/31/2019,Water Bottle Cages,4142576.51,307154.00
5/31/2019,Wheel Parts,976472.82,150089.00
5/31/2019,26 Inch Rims,12093.38,167.00
5/31/2019,27 Inch Rims,-17892.06,11.00
5/31/2019,27.5 Inch/ 650B Rims,73642.47,346.00
5/31/2019,29 Inch Rims,60650.61,290.00
5/31/2019,650C Rims,881.56,21.00
5/31/2019,700C Rims,56547.57,485.00
5/31/2019,Hubs,235147.40,1756.00
5/31/2019,Other Rims,23390.08,181.00
5/31/2019,Other Wheel Parts,315502.30,50244.00
5/31/2019,Skewers,82524.61,4688.00
5/31/2019,Spokes,133984.90,91900.00
5/31/2019,Wheels,5883133.03,25567.00
5/31/2019,<=24 inch Front Wheels,18334.90,338.00
5/31/2019,<=24 inch Rear Wheels,19307.60,244.00
5/31/2019,<=24 inch Wheel Sets,56709.97,1131.00
5/31/2019,26 inch Front Wheels,28847.64,537.00
